id,content,isTitle,image,imgHeight,imgWidth
ITConsulting_3,"Worked on a <a href=""https://www.researchgate.net/publication/329732301_Assessment_of_Healthcare_Systems_Across_BRICS_Nations_What_India_Can_Learn_from_the_Rest"" target=_blank>Case-Study</a> on effectiveness of Telemedicine during Covid-19 pandemic in a tertiary care hospital. My role in the project was that of an analyst.",FALSE,,,
ITConsulting_4,"Comprehensive Online/live dashboard for India & Rest of the world during Covid-19 Pandemic hosted at AWS and <a href=""https://hisham2k9.pythonanywhere.com"" target=""_blank"">pythonanywhere</a>. The website garnered 12,000 users during April & May 2020. The data garnering was automating with multiple APIs and Scheduled web-scrapping. The project used MySQL, Django, Vue.js and is Open-sourced on <a href=""https://https://github.com/hisham2k9/covid_dash"" target=""_blank"">GitHub</a>.",FALSE,,,
ITConsulting_5,"Comprehensive Incident Management System with RCA and CAPA maintained as Open-Source Project on <a href=""https://github.com/hisham2k9/IMS-and-CAPA"" target=""_blank"">GitHub</a>.",FALSE,,,
ITConsulting_6,"Created and successfully tested model for predicting Patients footfall of clinical department with a variance score of 87% and SE of ± 8 patients. Model developed using ML-libraries in Python. (open-sourced on <a href=""https://github.com/hisham2k9/Share_files"" target=""_blank"">GitHub</a>).",FALSE,,,
ITConsulting_7,"Developed and successfully tested a Discharge TAT Predictor with ~80% variance score, developed through in Python (under review for publication). (Source code openly made available in my <a href=""https://github.com/hisham2k9/Share_files"" target=""_blank"">GitHub</a>).",FALSE,,,
ITConsulting_8,"Designed & Developed few utility applications for Windows and Android with Microsoft Visual Studio and published application on <a href=""https://play.google.com/store/apps/developer?id=Sayed+Hisham"" target=""_blank"">Google PlayStore</a> respectively.",FALSE,,,
StarcareIntern,"Analyst Intern with Project at Star Care Hospital, Kozhikode, Kerala (2 Months) in 2019.",TRUE,,,
StarcareIntern_1,"Assessing NABH compliance in documentation and providing solutions. Found key lacunae in medical documentation practices as per NABH standards, and designed electronic forms for reducing non-compliance.",FALSE,,,
LakeShoreIntern,"Analyst Intern with Project at VPS Lakeshore Hospital, Cochin, Kerala (4 Months) in 2017.",TRUE,,,
LakeShoreIntern_1,"Assessing and improving Medico-legal knowledge to nurses and other Health professionals. The project and Outcome published in an <a href=""https://www.semanticscholar.org/paper/Awareness-of-Medico-Legal-Aspects-and-Documentation-Hisham-Dsouza/fe9393393320812988e53300812a153086068545"" target=""_blank"">International Journal</a>.",FALSE,,,
